SMT-1,yield,irrigation,SMT-2,SMT-3,SMT-4,max_irrigation
44.20355256327522,4.083827640915596,0.0,90.18289841156233,30.13505864242888,74.61132963641866,0.0
27.828341333111595,9.514730735145024,50.0,22.41828959940514,53.2428700451152,73.65276586482379,50.0
2.0868760274907916,11.37258869896238,100.0,12.589612381496051,56.50312689975399,74.35007991863152,100.0
1.9243921958906198,12.70224404834758,150.0,36.12587555011924,92.68429778221099,8.8622039378523420,150.0
8.93504586810255,13.455471262621947,200.0,39.79318037374664,84.0093823825329,100.20955005956407,200.0
66.59032113450053,13.936867105280198,250.0,55.9214899643682,80.50932689012711,74.83927916968472,250.0
74.13618617414417,14.265087118435508,300.0,61.86897441299155,32.384260199612314,55.923656749466495,300.0
98.22351235126891,14.337983060258361,350.0,68.75061064260296,34.46366504516088,93.68884232374742,350.0
92.29525929689873,14.286189363612763,350.68073325532174,85.06996041966872,46.40317336553825,27.501910914376055,400.0
58.63211437940859,14.294757855839437,390.65166666666664,73.68782681562658,35.01112440651596,56.308894706912355,450.0
